study,size.cat,obs
Andrade et al.2019,20,0
Andrade et al.2019,100,0
Andrade et al.2019,200,0
Andrade et al.2019,300,0
Andrade et al.2019,400,0
Andrade et al.2019,500,0
Andrade et al.2019,600,0
Andrade et al.2019,700,0
Andrade et al.2019,800,0
Andrade et al.2019,900,0
Andrade et al.2019,1000,1
Chagnon et al.2018,20,0
Chagnon et al.2018,100,1
Chagnon et al.2018,200,1
Chagnon et al.2018,300,1
Chagnon et al.2018,400,1
Chagnon et al.2018,500,1
Chagnon et al.2018,600,1
Chagnon et al.2018,700,1
Chagnon et al.2018,800,1
Chagnon et al.2018,900,1
Chagnon et al.2018,1000,1
Hastuti et al.2019,20,1
Hastuti et al.2019,100,1
Hastuti et al.2019,200,1
Hastuti et al.2019,300,1
Hastuti et al.2019,400,1
Hastuti et al.2019,500,1
Hastuti et al.2019,600,1
Hastuti et al.2019,700,1
Hastuti et al.2019,800,1
Hastuti et al.2019,900,1
Hastuti et al.2019,1000,1
Lefebvre et al.2019,20,0
Lefebvre et al.2019,100,1
Lefebvre et al.2019,200,1
Lefebvre et al.2019,300,1
Lefebvre et al.2019,400,1
Lefebvre et al.2019,500,1
Lefebvre et al.2019,600,1
Lefebvre et al.2019,700,1
Lefebvre et al.2019,800,1
Lefebvre et al.2019,900,1
Lefebvre et al.2019,1000,1
Murphy et al.2017,20,0
Murphy et al.2017,100,1
Murphy et al.2017,200,1
Murphy et al.2017,300,1
Murphy et al.2017,400,1
Murphy et al.2017,500,1
Murphy et al.2017,600,1
Murphy et al.2017,700,1
Murphy et al.2017,800,1
Murphy et al.2017,900,1
Murphy et al.2017,1000,1
Nelms et al.2018,20,0
Nelms et al.2018,100,1
Nelms et al.2018,200,1
Nelms et al.2018,300,1
Nelms et al.2018,400,1
Nelms et al.2018,500,1
Nelms et al.2018,600,1
Nelms et al.2018,700,1
Nelms et al.2018,800,1
Nelms et al.2018,900,1
Nelms et al.2018,1000,1
Neves et al.2015,20,0
Neves et al.2015,100,0
Neves et al.2015,200,0
Neves et al.2015,300,1
Neves et al.2015,400,1
Neves et al.2015,500,1
Neves et al.2015,600,1
Neves et al.2015,700,1
Neves et al.2015,800,1
Neves et al.2015,900,1
Neves et al.2015,1000,1
Ory et al.2017,20,0
Ory et al.2017,100,0
Ory et al.2017,200,1
Ory et al.2017,300,1
Ory et al.2017,400,1
Ory et al.2017,500,1
Ory et al.2017,600,1
Ory et al.2017,700,1
Ory et al.2017,800,1
Ory et al.2017,900,1
Ory et al.2017,1000,1
Palermo et al.2020,20,0
Palermo et al.2020,100,0
Palermo et al.2020,200,1
Palermo et al.2020,300,1
Palermo et al.2020,400,1
Palermo et al.2020,500,1
Palermo et al.2020,600,1
Palermo et al.2020,700,1
Palermo et al.2020,800,1
Palermo et al.2020,900,1
Palermo et al.2020,1000,1
Pegado et al.2018,20,0
Pegado et al.2018,100,0
Pegado et al.2018,200,0
Pegado et al.2018,300,0
Pegado et al.2018,400,1
Pegado et al.2018,500,1
Pegado et al.2018,600,1
Pegado et al.2018,700,1
Pegado et al.2018,800,1
Pegado et al.2018,900,1
Pegado et al.2018,1000,1
Ramos et al.2012,20,0
Ramos et al.2012,100,0
Ramos et al.2012,200,0
Ramos et al.2012,300,0
Ramos et al.2012,400,0
Ramos et al.2012,500,0
Ramos et al.2012,600,0
Ramos et al.2012,700,0
Ramos et al.2012,800,0
Ramos et al.2012,900,0
Ramos et al.2012,1000,1
Rochman et al.2015,20,0
Rochman et al.2015,100,0
Rochman et al.2015,200,0
Rochman et al.2015,300,0
Rochman et al.2015,400,0
Rochman et al.2015,500,1
Rochman et al.2015,600,1
Rochman et al.2015,700,1
Rochman et al.2015,800,1
Rochman et al.2015,900,1
Rochman et al.2015,1000,1
Talley et al.2020,20,0
Talley et al.2020,100,1
Talley et al.2020,200,1
Talley et al.2020,300,1
Talley et al.2020,400,1
Talley et al.2020,500,1
Talley et al.2020,600,1
Talley et al.2020,700,1
Talley et al.2020,800,1
Talley et al.2020,900,1
Talley et al.2020,1000,1
