study,exclude.fib,meanMPs,smallest.size,largest.size
Andrade et al.2019,Fibres excluded,5.234567901,1000,5000
Chagnon et al.2018,Fibres excluded,11.85806452,100,2100
Hastuti et al.2019,Fibres not excluded,12.10218391,20,3000
Lefebvre et al.2019,Fibres not excluded,0.054674556,100,4900
Murphy et al.2017,Fibres not excluded,0.568867925,100,5000
Nelms et al.2018,Fibres not excluded,0.58,100,5000
Neves et al.2015,Fibres not excluded,0.294107884,217,4810
Ory et al.2017,Fibres excluded,3.1,200,500
Palermo et al.2020,Fibres not excluded,3.73,120,5000
Pegado et al.2018,Fibres not excluded,1.813227513,380,4160
Ramos et al.2012,Fibres not excluded,0.22625,1000,5000
Rochman et al.2015,Fibres not excluded,0.74140625,500,4500
Talley et al.2020,Fibres not excluded,0.466666667,50,5000
